seq,anchorId,range,rssi,sec,nsec
9,0,4375,-88.70273194163329,161,260000000
9,1,3543,-89.14700103571408,161,262000000
9,3,7749,-92.12727307468754,161,274000000
10,0,4387,-89.32496788922248,161,360000000
10,1,3577,-87.79173592753205,161,365000000
10,3,7755,-91.87069893720492,161,378000000
11,0,4398,-88.59657896099306,161,460000000
11,1,3676,-87.92883743217776,161,472000000
11,3,7729,-92.11895514269304,161,475000000
12,0,4417,-88.3840467436168,161,560000000
12,1,3714,-88.64906901997641,161,563000000
12,3,7779,-91.84618672240823,161,565000000
13,0,4354,-88.67903378440735,161,660000000
13,1,3785,-88.70116855532767,161,667000000
13,3,7805,-92.57279447456034,161,672000000
14,0,4337,-87.71523116254137,161,760000000
14,1,3891,-88.51962545513695,161,763000000
14,3,7805,-91.0943374295792,161,776000000
15,0,4333,-88.45047088421096,161,860000000
15,1,3891,-87.94647970167796,161,863000000
15,3,7842,-92.01780642592485,161,864000000
16,0,4357,-88.3091349606292,161,959000000
16,1,3941,-87.76555672816306,161,963000000
16,3,7779,-91.78224175151529,161,972000000
17,0,4350,-88.40010003812093,162,58000000
17,1,3985,-88.6681453687146,162,69000000
17,3,7821,-92.43208109435147,162,87000000
18,0,4348,-88.29126885320913,162,159000000
18,1,4056,-88.755239261873,162,165000000
18,3,7849,-91.36259148517692,162,172000000
19,0,4301,-88.34308642255802,162,260000000
19,1,4054,-88.38262227050464,162,268000000
19,3,7894,-92.40702574847728,162,275000000
20,0,4339,-88.59452305341615,162,360000000
20,1,4107,-88.94077421171167,162,367000000
20,3,7806,-91.6891308878966,162,380000000
21,0,4295,-88.68328805462156,162,459000000
21,1,4075,-88.68223200678798,162,463000000
21,3,7855,-92.94729283749092,162,474000000
22,0,4249,-88.59306667820512,162,560000000
22,1,4052,-88.01376471974605,162,565000000
22,3,7822,-91.7495387765337,162,570000000
23,0,3995,-88.32719148041997,162,660000000
23,1,4063,-87.43585362587149,162,668000000
23,3,7796,-92.39525598331517,162,673000000
24,0,3973,-88.03246364954117,162,760000000
24,1,4036,-87.80821723925253,162,770000000
24,3,7864,-92.95362289089962,162,780000000
25,0,3762,-88.16559196607746,162,860000000
25,1,4067,-88.20998720287545,162,868000000
25,3,7815,-92.3763155469608,162,871000000
26,0,3704,-87.4559172954212,162,960000000
26,1,4035,-87.99104594361418,162,962000000
26,3,7747,-92.39648977996356,162,974000000
27,0,4054,-88.52305898047456,163,57000000
27,1,3998,-88.11710029635272,163,66000000
27,3,7727,-92.62122109983636,163,75000000
28,0,4029,-88.60371935099025,163,160000000
28,1,4029,-88.75805900445425,163,166000000
28,3,7764,-92.40433014687304,163,166000000
29,0,3966,-88.86893254923763,163,260000000
