seq,sec,nsec,X,Y,Z
1361,168,459000000,5.432635499906707,0.926377550947046,1.6683284253031112
1362,168,559000000,5.3948710932824655,0.8966491562772314,1.6673484253031108
1363,168,659000000,5.357879484725436,0.868679378365209,1.672843572454208
1364,168,759000000,5.321474039574977,0.8387748884554129,1.6799419683672647
1365,168,859000000,5.28396479538626,0.8086226090336013,1.6795929349620131
1366,168,959000000,5.246200388762019,0.7788942143637867,1.678612934962013
1367,169,59000000,5.208435982137778,0.7491658196939721,1.6776329349620125
1368,169,159000000,5.170386392546282,0.7192928881834721,1.678394754458998
1369,169,259000000,5.132845260338287,0.6892526389134012,1.6800073491038214
1370,169,359000000,5.0950808537140455,0.6595242442435866,1.679027349103821
1371,169,459000000,5.057316447089804,0.629795849573772,1.6780473491038206
1372,169,559000000,5.019552040465563,0.6000674549039574,1.6770673491038202
1373,169,659000000,4.981787633841322,0.5703390602341428,1.6760873491038195
1374,169,759000000,4.944023227217081,0.5406106655643282,1.6751073491038193
1375,169,859000000,4.90625882059284,0.5108822708945137,1.6741273491038189
1376,169,959000000,4.868494413968599,0.4811538762246991,1.6731473491038185
1377,170,59000000,4.830730007344358,0.4514254815548845,1.672167349103818
1378,170,159000000,4.792965600720117,0.4216970868850699,1.6711873491038176
1379,170,259000000,4.755201194095876,0.3919686922152553,1.6702073491038172
1380,170,359000000,4.717436787471635,0.3622402975454407,1.6692273491038168
1381,170,459000000,4.679672380847394,0.3325119028756261,1.6682473491038163
1382,170,559000000,4.641907974223153,0.3027835082058115,1.667267349103816
1383,170,655000000,4.604638155969451,0.2742822153449576,1.669989395716163
1384,170,758000000,4.568440331865411,0.2451710273409788,1.678843899066385
1385,170,859000000,4.531157715645139,0.2146149716202197,1.67993959216037
1386,170,959000000,4.493393309020898,0.1848865769504051,1.6789595921603695
1387,171,60000000,4.455628902396657,0.1551581822805905,1.6779795921603693
1388,171,159000000,4.417637292773903,0.1252621660075479,1.6780190351282422
1389,171,259000000,4.379936798049221,0.0951801839944583,1.6801776091106972
1390,171,359000000,4.34217239142498,0.0654517893246451,1.6791976091106968
1391,171,459000000,4.304407984800739,0.0357233946548313,1.6782176091106964
1392,171,559000000,4.266643578176498,0.0059949999850174,1.677237609110696
1393,171,659000000,4.228879171552257,-0.0237333946847964,1.6762576091106955
1394,171,759000000,4.191114764928016,-0.0534617893546102,1.6752776091106951
1395,171,859000000,4.153350358303775,-0.0831901840244237,1.6742976091106947
1396,171,959000000,4.115585951679534,-0.1129185786942369,1.6733176091106945
1397,172,59000000,4.077821545055293,-0.1426469733640509,1.6723376091106938
1398,172,159000000,4.040057138431052,-0.1723753680338655,1.6713576091106934
1399,172,259000000,4.00229273180681,-0.20210376270368,1.670377609110693
